Ticker,GHG Emissions,Air Quality,Energy Management,Water & Wastewater Management,Waste & Hazardous Materials Management,Ecological Impacts,Human Rights & Community Relations,Customer Privacy,Data Security,Access & Affordability,Product Quality & Safety,Customer Welfare,Selling Practices & Product Labeling,Labour Practices,Employee Health & Safety,"Employee Engagement, Diversity & Inclusion",Product Design & Lifecycle Management,Business Model Resilience,Supply Chain Management,Materials Sourcing & Efficiency,Physical Impacts of Climate Change,Business Ethics,Competitive Behaviour,Management of the Legal & Regulatory Environment,Critical Incident Risk Management,Systemic Risk Management
BOMH,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
PJSB,1,1,,,1,,,,,,,,,1,1,,,1,,,,,,,,
LTF,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
NIACL,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
HUDCO,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
CRISIL,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
FB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
POONAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,
MMFS,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
LICHF,,,,,,,,,,,,,1,,,,,,,,1,,,,,
STARHEAL,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
ABDP,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
BANDHAN,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
PAYTM,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
ANGELONE,,,,,,,,,,,,,,,,,,,,,,,,,,
MOFS,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
ISEC,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
CREDAG,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
FIVESTAR,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
PIEL,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
IDFCFB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
MCX,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
CGCL,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
PNBHOUSI,,,,,,,,,,,,,1,,,,,,,,1,,,,,
APTUS,,,,,,,,,,,,,1,,,,,,,,1,,,,,
JKBK,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
KVB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
MGFL,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
BKBR3,,,1,1,1,,,,,,1,1,,1,,,,,1,,,,,,,
2662,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,
ABSLAMC,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
IIFL,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
SAMMAANC,,,,,,,,,,,,,,,,,,,,,,,,,,
AIIL,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUITASB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
KFINTECH,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
AAVAS,,,,,,,,,,,,,1,,,,,,,,1,,,,,
UTIAM,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
CANF,,,,,,,,,,,,,1,,,,,,,,1,,,,,
CUBK,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
IFCI,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
ABG,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
INFIBEAM,,,1,,,,,1,1,,,,,,,1,1,,,,,,,,,
SBFC,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
UJJIVANS,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
BLZE,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
SWH,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
HOMEFIRS,,,,,,,,,,,,,1,,,,,,,,1,,,,,
TMB,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,1,,,1,
CAIN,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
JM,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
NTGAZ,,,,,,,,,,1,,,,,,,,1,,,,,,,1,
INDIASHL,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
SISLTD,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
CSBBANK,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
SPANDANA,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
BMM,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
GMON,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
UJJIVAN,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
CFIS,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
PAISALO,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
FZICRA,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
UTKARSHB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
BMEA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
MASFIN,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
SINDHUTR,,,,,,,,,,,,,,,,,,,,,,,,,,
JSFB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
FEDFINA,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
PIICL,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
IIFLSEC,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
DCBB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
MEDIASSI,,,,,,,,,1,1,1,1,,,,,,,,,1,,,,,
ZAGGLE,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
MUTHOOTM,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
ONEM,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
ESAFSFB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
PTCIF,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
INDOSTAR,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
REPCO,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
FINOPB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
SANDHA,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
SATIN,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
SGFIN,,,,,,,,,,,,,,,,,,,,,,,,,,
MUFIN,,,,,,,,,,,,,,,,,,,,,,,,,,
DVLF,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
AUGR,1,1,1,1,1,,,,,,1,,,,,,1,,1,,,,,,,
PGLT,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
BFIN,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
ARLF,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
SUNP,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
CIPLA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
DRRD,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ZYDUSLIF,,,,,,,,,,,,,,,,,,,,,,,,,,
MANKIND,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
APHS,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
CDF1U,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
TRP,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
MAXHEALT,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
LPC,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
ARBP,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ALKEM,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
BOOT,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
MEDANTA,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
GLXO,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
AADI,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
FORH,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
IPCA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
GLANDRT,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
3SQ1,1,1,,1,1,,,,,1,,,,,1,,,1,,,,,,,1,1
AJP,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
GNP,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
NARH,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
JBCP,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
LAURUS,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ASTERDM,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
ALPM,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
PFE,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
DLPL,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
300384,,,,1,1,,,,,,,,,1,1,,1,,,1,,,,,,
SUVENPHA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
PIRPHARM,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
NTCPH,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
KIMS,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
CONCORDB,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
AFH,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
TDI,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
AIL,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
SPADV,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ADESE,1,,1,,1,,,,1,,1,1,1,1,,,,,1,,,,,,,
AGR,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
CLPL,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
078140,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
JUBLPHAR,,,,,,,,,,,,,,,,,,,,,,,,,,
WPLZ11B,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
METROHL,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
NLL,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
JLHL,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
PGHL,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
C69,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
FDCLT,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
MRKS,1,1,,1,1,,,,,1,,,,,1,,,1,,,,,,,1,1
BLUEJET,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
VIJAYA,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
ORCP,1,,,1,1,1,1,,,,,,,1,1,,,1,,,,,,,1,
HCG,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
CONCESI1,1,1,1,1,1,1,,,,,,,,,1,,1,,,,,,1,,,
ITMAM,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
AMIORG,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
SLPA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ARTD,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
AARTIPHA,,,,,,,,,,,,,,,,,,,,,,,,,,
CALL,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
YATHARTH,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
UL,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
HKCI,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
CUPD,,,,,,,,,,1,1,,1,,,,1,,1,,,1,,,,
THYROCAR,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
CNFS,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
GTB,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
MLSEQ,1,1,,1,,1,1,,,,,,,,1,,,1,,,,1,,1,1,
CF,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
SUPRIYA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
SHALBY,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
INNOVACA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
HCBA,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
RPGL,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ARTMSL,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
SVLS,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
090430,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
ALBC,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
3577,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
TMCH,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
KRSNAA,,,1,,1,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,
LT,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
ADSEZ,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
HNAL,,,1,,1,,,,1,,1,,,,,,1,,,1,,1,,,,
SEMC,1,1,1,1,1,,,,,,1,,,,,,1,,1,,,,,,,
IRFC,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
BHE,,,,1,1,,,,,,,,,1,1,,1,,,1,,,,,,
IDG,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
ABBANK,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
HAVL,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
BHEL,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
ASH,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
CGPOWER,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
INDUSTOW,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYCAB,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
IRCTC,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
LTTS,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
CCRI,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,
RVNL,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
BHFC,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
JSWINFRA,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
AL,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TMX,1,1,1,1,1,1,,,,,,,,,1,,1,,,,,,1,,,
GMRI,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
SCHFL,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
APT,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
MAZDOCKS,,,1,,1,,,,1,,1,,,,,,1,,,1,,1,,,,
AIAE,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
508096,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
AEGIR,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ATEL,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,
DELHIVER,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
BDLAMP,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
BPBL,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
KEII,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
EFS,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
POWERIND,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
PLAP,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
BLSTR,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
SF,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
CMEI,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
CYL,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,1,,,1,
TMKN,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
NBCC,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
CHOLAHLD,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
002167,1,1,1,1,1,,1,,,,,,,,1,,1,,,,,,,1,1,
SEKFK,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
ELEQ,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
JYOTICNC,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
SHNP,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
RRKABEL,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
KPIL,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUC,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
ACEL,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,
CELLO,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
ACEWIN,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
OLECTRA,1,1,1,1,1,1,,,,,,,,,1,,1,,,,,,1,,,
JWL,,,,,,,,,,,,,,,,,,,,,,,,,,
FNXC,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
BDE,,,1,1,1,1,,,,,,,,,,,1,,,1,,,,,,
NJCC,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
VGRD,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
GSC1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
JSAW,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
DATAPATT,,,1,,1,,,,1,,1,,,,,,1,,,1,,1,,,,
KSB,1,1,1,1,1,1,,,,,,,,,1,,1,,,,,,1,,,
BEML,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
HMFC,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
BLSIN,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
GRINFRA,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
RMKF,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TWL,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
AMG1L,,,,,,,,,,1,,,,,,,,1,,,,,,,1,
AGL,,,1,1,1,,,,,,1,1,,1,,,,,1,,,,,,,
SPPT,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
AIP,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ENGR,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
MHS,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
PNCL,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
INOXINDI,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
ELCN,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
GPPV,1,1,,,,1,,,,,,,,,1,,,,,,,1,,,1,
VAMP,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
IPRJRA,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
AADI,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
EUREKAFO,,,,,,,,,,,,,,,,,,,,,,,,,,
KKB,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
GRSE,,,1,,1,,,,1,,1,,,,,,1,,,1,,1,,,,
ITG,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
SYRMA,,,,1,1,,,,,,,,,1,1,,1,,,1,,,,,,
ESAB,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
AZAD,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
POWM,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
QUESS,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
002578,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,1,,,1,
8458,,,,,,,,,,,,1,1,,,,,,,,,,1,,,
MIDHANI,1,1,1,1,1,,,,,,,,,,1,,,,1,,,,,,,
CHGG,,,,,,,,,1,,,1,1,,,,,,,,,,,,,
AGLL,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
688084,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
KNRC,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
AHLU,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
TVSSCS,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
DBL,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
IGSEC,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TXMRE,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
CMSINFO,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
TRPC,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,
PRINCPIP,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
HGINFRA,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
SECIS,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
MSTCLTD,1,1,,,1,,,,,,,,,1,1,,,1,,,,,,,,
124500,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
CYIENTDL,,,,1,1,,,,,,,,,1,1,,1,,,1,,,,,,
SEDAPBC1,1,1,,,1,,,,,,,,,1,1,,,1,,,,,,,,
LLOYDSEN,,,,,,,,,,,,,,,,,,,,,,,,,,
AGMMRA,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
SANSERA,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
1552,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
KNM,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
HMT,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
MTARTECH,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
JFI,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
GRFL,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
VRLL,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,
JKIL,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
VATW,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
SJET,1,,,,,,,,,,,,,1,,,,,,,,,1,,1,
ABE,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
TDPS,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
KKPC,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TIIL,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
469480,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
ASBL,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
BNCO,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
SG,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
WELENT,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTEL,,,,,,,,,,,1,,,,,,1,,,,,,,,,
LGBB,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
TCIEXP,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
VENUSPIP,1,1,1,1,1,,,,,,,,,,1,,,,1,,,,,,,
SKIPPER,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
RMKY,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
2809,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
DCXINDIA,,,1,,1,,,,1,,1,,,,,,1,,,1,,1,,,,
JI,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
SECLTD,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
ANUP,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
2208,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
MAHLOG,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
SCT,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
BFUT,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
VINL,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
VSTT,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
SM,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
APAT,1,1,1,1,1,,,,,,,,,,1,,,,1,,,,,,,
SKPI,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
DIACABS,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
NRBBR,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
JCHAC,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
GMRPUI,,,,,,,,,,,,,,,,,,,,,,,,,,
STYRENIX,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJEL,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPPL,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
PITTIENG,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
CSP,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
